,sid,text,A,A_stdzd,B,B_stdzd,C,C_stdzd,D,D_stdzd,E,E_stdzd,stdzd_avg
0,492077708252151808,Actually ready for school to start back😁,,,,,0.0,-0.030091043577967207,0.0,0.003396709710744425,1.0,0.5322454872247582,0.16851705111917847
1,484345814979203073,RT @cute_lilwoady: Distilled water has a funny taste to it,,,,,0.0,-0.030091043577967207,0.0,0.003396709710744425,1.0,0.5322454872247582,0.16851705111917847
2,494326161368166400,"""@aguywithnolife: http://t.co/fi2E9iaQzx"" @maddie_marasco  HAHAHAHAHAHA",,,,,0.0,-0.030091043577967207,0.0,0.003396709710744425,1.0,0.5322454872247582,0.16851705111917847
4,484301971927887872,"Queensland AUS Cairns » http://t.co/MK9A0DkPt6 793 HBO s The Leftovers: intense, unpredictable, occasionally brilliant The Leftovers mahomi…",,,,,0.0,-0.030091043577967207,0.0,0.003396709710744425,1.0,0.5322454872247582,0.16851705111917847
5,484402308092923904,Forever hating comcast network for not letting me watch Rockets or Astros games,,,,,0.0,-0.030091043577967207,-2.0,-1.5643154644789905,-1.0,-0.8858153135516845,-0.8267406072028808
6,484483702723198976,@AlciniaH @KnottyMary @francie57 @marilynrbush @DoubtingTomFMI @TwinSiSTAR @yikesks @MetebAR You're very welcome! :),,,,,1.0,1.7059307013047562,3.0,2.354964970995346,3.0,1.9503062880012003,2.003733986767101
7,486917225341652992,RT @Pocahontas_SC: Everybody is getting married and having kids. I can't wait to experience both one day!,,,,,0.0,-0.030091043577967207,1.0,0.7872527968056119,2.0,1.2412758876129792,0.6661458802802079
8,486020357296365568,Rachel Comey Launches a Cat-Cam! http://t.co/CBWnPnAEqa  DARLING #GreaterGood,,,,,0.0,-0.030091043577967207,0.0,0.003396709710744425,1.0,0.5322454872247582,0.16851705111917847
9,493816066900885504,"RT @JohnBeifuss: Knew I'd enjoy the 1948 Geo Raft @WarnerArchive noir RACE STREET when the opening credits promised a song titled ""I""m in a…",,,,,0.0,-0.030091043577967207,0.0,0.003396709710744425,1.0,0.5322454872247582,0.16851705111917847
10,490868918207016961,can on have and when if when u with when for is do when on out you u,,,,,0.0,-0.030091043577967207,0.0,0.003396709710744425,-1.0,-0.8858153135516845,-0.3041698824729691
11,490535668175478784,RT @miss_kaygee24: Why is Floyd bragging about smashing Tiny? Like that's an accomplishment or something.,,,,,0.0,-0.030091043577967207,-2.0,-1.5643154644789905,-2.0,-1.5948457139399057,-1.0630840739989544
16,488103215125118976,@Hockeykid801 u better take it for your senior yearbook hahah😹😹 http://t.co/yc9MA3pQ1K,,,,,0.0,-0.030091043577967207,0.0,0.003396709710744425,2.0,1.2412758876129792,0.4048605179152522
17,488382870323724288,"RT @TickleMyy_Fancy: ""I'm the daddy, I'm grown"" 😂😂",,,,,0.0,-0.030091043577967207,-1.0,-0.7804593773841231,-1.0,-0.8858153135516845,-0.5654552448379251
18,492554294420185088,Alayna's forever running over my toes in her walker. 😩,,,,,0.0,-0.030091043577967207,-2.0,-1.5643154644789905,2.0,1.2412758876129792,-0.11771020681465945
19,485613513998880768,RT @Chosen_Few_DJS: There was a place...called the #ChosenFewPicnic! djwaynewilliams #Chicago #HouseMusic #july4thweekend… http://t.co/AoX9…,,,,,0.0,-0.030091043577967207,0.0,0.003396709710744425,1.0,0.5322454872247582,0.16851705111917847
20,488348837753257984,"RT @SVUWritersRoom: Exclusive Invite -- What: live tweet party for back to back #SVU eps When: tn @ 9&10p Where: NBC, your couch Password: …",,,,,0.0,-0.030091043577967207,0.0,0.003396709710744425,1.0,0.5322454872247582,0.16851705111917847
21,490580924716027904,I lived with @Commando_Dro and got a free exercise phys degree,,,,,0.0,-0.030091043577967207,1.0,0.7872527968056119,1.0,0.5322454872247582,0.4298024134841343
22,483973666968174592,Quite Possibly the Best Memorial Day Weekend Ever - Part Two - Back to the Yacht Club at Marina Shores on... http://t.co/3GeFlQYmSG,,,,,0.0,-0.030091043577967207,1.0,0.7872527968056119,2.0,1.2412758876129792,0.6661458802802079
23,490832876574105600,RT @Tweet_Palestine: Medics carry their friend who was murdered by Israeli army in #Shajaieh while trying to save lives #GazaUnderAttack ht…,,,,,0.0,-0.030091043577967207,0.0,0.003396709710744425,0.0,-0.17678491316346318,-0.06782641567689532
24,494888542011527172,RT @BleacherReport: VIDEO: #Cowboys TE coach throws ice water on players during an odd drill http://t.co/I3IhuqQ3Sh http://t.co/PBYbJzXRee,,,,,0.0,-0.030091043577967207,0.0,0.003396709710744425,1.0,0.5322454872247582,0.16851705111917847
